LSM9DS0 WHO_AM_I's returned: 0x49D4
Should be 0x49D4

SGCanScience>Time:8689|Press:836|LM35:49|NTC:516|GyrX:-19|GyrY:-49|GyrZ:-12|AccX:20|AccY:42|AccZ:-1435|MagX:-6117|MagY:-455|MagZ:-1941|
SGCanScience>Time:8830|Press:837|LM35:49|NTC:513|GyrX:-13|GyrY:-47|GyrZ:-12|AccX:18|AccY:34|AccZ:-1428|MagX:-6078|MagY:-383|MagZ:-1861|
SGCanScience>Time:8972|Press:838|LM35:52|NTC:520|GyrX:-17|GyrY:-49|GyrZ:-12|AccX:15|AccY:31|AccZ:-1432|MagX:-6074|MagY:-410|MagZ:-1934|
SGCanScience>Time:9115|Press:840|LM35:51|NTC:513|GyrX:-17|GyrY:-50|GyrZ:-8|AccX:11|AccY:20|AccZ:-1460|MagX:-6062|MagY:-359|MagZ:-1950|
SGCanScience>Time:9256|Press:838|LM35:55|NTC:514|GyrX:-16|GyrY:-47|GyrZ:-7|AccX:10|AccY:28|AccZ:-1435|MagX:-6083|MagY:-398|MagZ:-1917|
SGCanScience>Time:9398|Press:841|LM35:55|NTC:515|GyrX:-4|GyrY:-48|GyrZ:-16|AccX:19|AccY:27|AccZ:-1424|MagX:-6112|MagY:-372|MagZ:-1919|
SGCanScience>Time:9539|Press:844|LM35:51|NTC:514|GyrX:-22|GyrY:-56|GyrZ:-11|AccX:12|AccY:27|AccZ:-1433|MagX:-6089|MagY:-390|MagZ:-1902|
SGCanScience>Time:9682|Press:841|LM35:55|NTC:515|GyrX:-15|GyrY:-53|GyrZ:-11|AccX:19|AccY:25|AccZ:-1445|MagX:-6092|MagY:-405|MagZ:-1879|
SGCanScience>Time:9824|Press:838|LM35:55|NTC:514|GyrX:-14|GyrY:-50|GyrZ:-4|AccX:-5|AccY:41|AccZ:-1428|MagX:-6074|MagY:-438|MagZ:-1917|
SGCanScience>Time:9965|Press:836|LM35:49|NTC:514|GyrX:-17|GyrY:-51|GyrZ:-9|AccX:9|AccY:36|AccZ:-1439|MagX:-6098|MagY:-414|MagZ:-1925|
SGCanScience>Time:10106|Press:838|LM35:56|NTC:517|GyrX:-13|GyrY:-50|GyrZ:-5|AccX:18|AccY:24|AccZ:-1459|MagX:-6065|MagY:-363|MagZ:-1828|
SGCanScience>Time:10248|Press:840|LM35:55|NTC:514|GyrX:474|GyrY:493|GyrZ:-5|AccX:-34|AccY:57|AccZ:-1424|MagX:-6132|MagY:-369|MagZ:-1825|
SGCanScience>Time:10391|Press:838|LM35:45|NTC:516|GyrX:31|GyrY:-66|GyrZ:-513|AccX:94|AccY:14|AccZ:-1498|MagX:-6250|MagY:-426|MagZ:-1891|
SGCanScience>Time:10534|Press:843|LM35:55|NTC:514|GyrX:-21|GyrY:-34|GyrZ:405|AccX:38|AccY:-22|AccZ:-1431|MagX:-6077|MagY:-383|MagZ:-1834|
SGCanScience>Time:10676|Press:835|LM35:55|NTC:514|GyrX:-185|GyrY:-182|GyrZ:351|AccX:146|AccY:29|AccZ:-1432|MagX:-6077|MagY:-370|MagZ:-1911|
SGCanScience>Time:10821|Press:838|LM35:45|NTC:520|GyrX:-173|GyrY:85|GyrZ:138|AccX:6|AccY:64|AccZ:-1432|MagX:-6161|MagY:-456|MagZ:-1913|
SGCanScience>Time:10962|Press:838|LM35:55|NTC:514|GyrX:-408|GyrY:230|GyrZ:332|AccX:129|AccY:84|AccZ:-1437|MagX:-6141|MagY:-651|MagZ:-1874|
SGCanScience>Time:11106|Press:840|LM35:51|NTC:514|GyrX:-568|GyrY:311|GyrZ:348|AccX:159|AccY:242|AccZ:-1404|MagX:-6306|MagY:-944|MagZ:-2131|
SGCanScience>Time:11251|Press:841|LM35:46|NTC:518|GyrX:-540|GyrY:639|GyrZ:280|AccX:278|AccY:374|AccZ:-1374|MagX:-6544|MagY:-1163|MagZ:-2113|
SGCanScience>Time:11395|Press:841|LM35:54|NTC:519|GyrX:-515|GyrY:406|GyrZ:228|AccX:383|AccY:472|AccZ:-1277|MagX:-6758|MagY:-1451|MagZ:-2126|
SGCanScience>Time:11540|Press:843|LM35:52|NTC:522|GyrX:-678|GyrY:311|GyrZ:-153|AccX:532|AccY:548|AccZ:-1252|MagX:-6979|MagY:-1858|MagZ:-2133|
SGCanScience>Time:11685|Press:841|LM35:54|NTC:522|GyrX:-625|GyrY:111|GyrZ:-343|AccX:567|AccY:794|AccZ:-1184|MagX:-7241|MagY:-2403|MagZ:-2068|
