•s returned: 0x49D4
Should be 0x49D4

SGCanScience>Time:7036|Press:842|LM35:56|NTC:536|GyrX:168|GyrY:-101|GyrZ:197|AccX:868|AccY:495|AccZ:-168|MagX:-9476|MagY:-4813|MagZ:1524|
SGCanScience>Time:7180|Press:841|LM35:56|NTC:536|GyrX:411|GyrY:-748|GyrZ:202|AccX:1329|AccY:669|AccZ:-445|MagX:-9598|MagY:-4531|MagZ:1338|
SGCanScience>Time:7323|Press:842|LM35:56|NTC:535|GyrX:472|GyrY:-268|GyrZ:173|AccX:1243|AccY:499|AccZ:-470|MagX:-9655|MagY:-4501|MagZ:721|
SGCanScience>Time:7467|Press:842|LM35:55|NTC:535|GyrX:140|GyrY:-268|GyrZ:345|AccX:1125|AccY:389|AccZ:-570|MagX:-9677|MagY:-4259|MagZ:580|
SGCanScience>Time:7610|Press:841|LM35:55|NTC:536|GyrX:477|GyrY:-112|GyrZ:390|AccX:1216|AccY:204|AccZ:-644|MagX:-9745|MagY:-3836|MagZ:234|
SGCanScience>Time:7753|Press:839|LM35:56|NTC:538|GyrX:269|GyrY:-274|GyrZ:723|AccX:1166|AccY:214|AccZ:-705|MagX:-9721|MagY:-3352|MagZ:140|
SGCanScience>Time:7897|Press:836|LM35:55|NTC:540|GyrX:-314|GyrY:-182|GyrZ:364|AccX:1125|AccY:-89|AccZ:-657|MagX:-9728|MagY:-2890|MagZ:-42|
SGCanScience>Time:8040|Press:842|LM35:55|NTC:536|GyrX:-107|GyrY:-270|GyrZ:105|AccX:1179|AccY:-142|AccZ:-791|MagX:-9606|MagY:-2661|MagZ:-188|
SGCanScience>Time:8185|Press:839|LM35:57|NTC:538|GyrX:-135|GyrY:155|GyrZ:21|AccX:1236|AccY:-36|AccZ:-777|MagX:-9569|MagY:-2533|MagZ:-128|
SGCanScience>Time:8329|Press:836|LM35:55|NTC:541|GyrX:-51|GyrY:-113|GyrZ:-186|AccX:1083|AccY:-60|AccZ:-654|MagX:-9669|MagY:-2479|MagZ:-70|
